Ticker,Description,Last,Change %,Change,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector,Yearly Performance,Country,Current Ratio (MRQ),Debt to Equity Ratio (MRQ),Dividends Paid (FY),Dividends per Share (FY),Dividends Yield (FY),EBITDA (TTM),Enterprise Value/EBITDA (TTM),Enterprise Value (MRQ),Gap %,Goodwill,Gross Margin (TTM),Gross Profit (FY),Gross Profit (MRQ),Industry,Last Year Revenue (FY),Money Flow (14),Net Debt (MRQ),Net Income (FY),Net Margin (TTM),Operating Margin (TTM),Price to Book (FY),Price to Book (MRQ),Price to Free Cash Flow (TTM),Price to Revenue Ratio (TTM),Price to Sales (FY),Quick Ratio (MRQ),Return on Assets (TTM),Return on Equity (TTM),Return on Invested Capital (TTM),Revenue per Employee (TTM),Shares Float,Total Assets (MRQ),Total Current Assets (MRQ),Total Debt (MRQ),Total Liabilities (FY),Total Liabilities (MRQ),Total Revenue (FY),Total Shares Outstanding (MRQ)
MKTX,"MarketAxess Holdings, Inc.",360.79,-5.41121569,-20.64,737778,266182924.6,13719575595,55.93297971,6.8762,676,Finance,-25.59957107,United States,,0.08491716,-99792000,2.64,0.739645,397500000,38.0152,15178700000,-0.37490496,154789000,84.0127504,589035000,136005000,Investment Banks/Brokers,701030000,34.41321389,-468469000,257888000,36.81342761,48.14289813,13.78514746,14.9763,106.903,20.55979821,20.57258651,,18.02227276,25.83569178,25.83569178,1037026.627,37051462.51,1530452000,,88425000,489143000,489143000,701030000,38026500
MXL,"MaxLinear, Inc",58.75,-4.23797881,-2.6,1070355,62883356.25,4511117070,116.8688619,0.5484,1503,Electronic Technology,75.68779904,United States,1.94847513,0.69436302,0,0,,156356000,40.7128,6358340000,-0.78239609,306668000,52.91394647,472203000,135848000,Semiconductors,892398000,62.6376871,209004000,41969000,4.70294644,8.06243403,9.52509499,11.8322,43.2276,5.54718996,5.41879129,1.31344054,4.02562573,9.534996,5.26071691,593744.511,70451926.77,1052460000,404104000,339681000,563262000,563262000,892398000,76785000
CURO,CURO Group Holdings Corp.,12.2,-8.75093493,-1.17,340730,4156906,525830202.3,9.98875863,,,Finance,-15.04178273,United States,,12.89979417,,0.385,3.5369775,358258000,5.08033,2550620000,-0.29917726,429792000,67.67348256,629110000,135783000,Finance/Rental/Leasing,953230000,51.28030728,1906149000,59334000,7.25022375,10.46348418,,,,0.61225658,0.56303192,,3.25498369,40.58309237,3.63025727,,22311732.53,2460596000,,2068224000,2300266000,2300266000,953230000,43100800
NS,Nustar Energy L.P.,16.7,4.63659148,0.74,1407704,23508656.8,1838700706,,-0.9907,1267,Distribution Services,-13.11134235,United States,0.85943016,2.04147062,-302814000,1.6,9.546539,699802000,8.99501,6373090000,0.7518797,732356000,33.27951807,538629000,135618000,Wholesale Distributors,1618500000,56.96866509,3257172000,38225000,2.36175471,26.28495521,8.17373578,7.74457,99.2653,1.1367178,1.13478853,0.78191742,0.69651137,2.22901569,0.73887757,1277426.993,96508146.47,5156979000,184542000,3262809000,3558715000,3558715000,1618500000,110102000
TTEK,"Tetra Tech, Inc.",157.72,-0.66133401,-1.05,771731,121717413.3,8516786907,34.78251361,4.6056,21000,Industrial Services,25.79358749,United States,1.31101137,0.4051739,-40041000,0.74,0.5029865,315700000,27.7712,9563280000,0.42199408,1123060000,15.64610443,498400000,135315000,Environmental Services,3213513000,59.02033411,296041000,232810000,7.52552451,8.83021326,6.95625932,7.40703,32.4641,2.62494239,2.70609104,1.31101137,9.84557283,21.24249061,15.45639797,153024.4286,53476091.81,2640456000,1113400000,501583000,1342271000,1402511000,3213513000,53999400
AXON,"Axon Enterprise, Inc.",140.02,-0.16399287,-0.23,1072637,150190632.7,9586828834,,-0.9331,2148,Electronic Technology,-3.36783989,United States,2.65097809,0.02574703,0,0,,-146643000,,10465600000,-1.08377897,43592000,62.684956,520086000,135161000,Aerospace & Defense,863381000,48.61914283,-416086000,-60018000,-6.95150808,-19.3220606,9.78422737,10.6225,139.288,11.60891785,11.08650817,2.39128264,-3.91094453,-5.93032769,-5.81712095,401946.4618,64716534.07,1688210000,1109490000,26979000,640361000,640361000,863381000,68467600
NEWR,"New Relic, Inc.",64.45,-2.70229469,-1.79,1794186,115635287.7,4264922516,,-4.0244,2168,Technology Services,13.14957865,United States,2.4261476,1.55314077,0,0,,-125716000,,6947310000,0.96618357,163677000,66.84856427,486084000,134798000,Information Technology Services,667648000,38.34030879,-220785000,-192610000,-34.0979589,-28.47968869,10.25441989,21.5573,103.959,5.75006597,6.09009628,2.4261476,-19.1825979,-66.70020317,-28.11318646,307955.7196,57947865.28,1341478000,981794000,558994000,981255000,981566000,667648000,66174100
OSTK,"Overstock.com, Inc.",52.52,-7.69771529,-4.38,5402770,283753480.4,2259567947,22.48784604,2.5084,1350,Retail Trade,-14.43466927,United States,2.02615915,0.07341084,0,0,,134563000,15.5685,2110540000,2.37258348,6160000,21.9861735,606037000,134792000,Internet Retail,2756446000,68.70561799,-448720000,108552000,5.6718325,4.02953658,3.23487679,3.41058,35.2386,0.88063358,0.87986198,2.00729621,16.49010115,27.96602741,25.51129554,2041811.852,42545186.56,1065966000,551790000,54646000,321580000,321580000,2756446000,43023000
DRVN,Driven Brands Holdings Inc.,28.13,-4.22199523,-1.24,1013244,28502553.72,4708393099,679.1569087,0.0427,,Consumer Services,3.30517811,United States,1.7519364,2.01427389,,,,414544000,20.3824,8161610000,0.20429009,1910392000,36.63020239,537468000,134636000,Other Consumer Services,1467280000,50.923026,2744402000,9632000,0.55667592,16.71145472,,,29.8961,3.21460852,3.2541001,1.64412655,0.15549681,0.59438586,0.18233097,,89413056.96,5850532000,763599000,3313968000,4205290000,4205290000,1467280000,167380000
GOCO,"GoHealth, Inc.",1.1782,-47.16591928,-1.0518,28210868,33238044.68,377858631.6,12.07992734,0.1101,3067,Finance,-90.254756,United States,,0.33653794,0,0,,177948000,45.1587,1751740000,-1.79372197,386553000,69.00196271,584092000,134588000,Insurance Brokers/Services,877350000,4.58423197,358265000,-44267000,0.16009627,7.14652728,0.29436371,1.16,,0.14313035,0.12763513,,0.08331539,0.40594038,0.20285663,286061.2977,112540842.3,2130618000,,443486000,709641000,812829000,877350000,114629000
BACHOCO/B,INDUSTRIAS BACHOCO SAB DE CV,67.69,-1.7133773,-1.180003,866322,58641336.18,1976316254,8.04775903,0.41153505,,Process Industries,-2.44991933,Mexico,2.99392864,0.03990145,-41466107.2,,2.0879283,388495598,3.28067,1231639794,-0.46464787,82649946.88,16.58667655,659835030.4,134550603.6,Agricultural Commodities/Milling,3978092577,22.82584963,-914586705.2,246824617.2,6.20461323,7.64786626,0.85497165,0.913805,11.5497,0.49915427,0.4992422,2.27280899,8.14782473,11.13532915,10.90756667,,160500000,3210497282,1848859586,93683408,862627472,862627472,3978092577,600000000
DORM,"Dorman Products, Inc.",95.98,2.74031257,2.56,365009,35033563.82,3027746976,23.41050995,4.1339,3360,Consumer Durables,-8.52949585,United States,1.61880345,0.32363713,0,0,,213641000,17.3251,3619370000,0.278313,197332000,34.62280961,462916000,134264000,Automotive Aftermarket,1345249000,47.09510818,243086000,131532000,9.77752074,13.26505353,3.26533932,3.60624,42.2531,2.272529,2.28936201,0.81887924,9.09067033,14.72679485,14.02393938,400371.7262,25543229.41,1673119000,1076582000,301868000,740383000,740383000,1345249000,31545600
IRBT,iRobot Corporation,61.94,-0.35392535,-0.22,1330596,82417116.24,1674171733,60.2233677,1.0844,1372,Consumer Durables,-44.99600391,United States,1.9953675,0.06931827,0,0,,43398000,37.3502,1592490000,-0.53088803,173292000,36.93028567,587206000,133737000,Electronics/Appliances,1560494000,11.11377144,-184819000,30390000,1.94745648,0.64652479,2.37722028,2.48235,,1.09070509,1.13857572,1.15303665,2.56006658,3.99564279,3.76322515,1137386.297,26356556.11,1184429000,789533000,49682000,467706000,467706000,1560494000,27028900
CRMT,"America's Car-Mart, Inc.",99.75,3.71179039,3.57,227738,22716865.5,643045781.6,6.36148043,16.7438,1850,Retail Trade,-27.48618785,United States,6.53583935,0.82824167,-40000,0,,154503000,8.79914,1014080000,0.53025577,7505000,45.61967415,435738000,133700000,Specialty Stores,918610000,28.86056006,370553000,104139000,9.66359455,13.22675273,1.64442256,1.35817,,0.60002667,0.76435534,,12.3285992,27.05444201,15.08975587,496545.9459,5493882.992,1044592000,871613000,373156000,422142000,373156000,918610000,6446570
BNED,"Barnes & Noble Education, Inc",5.28,-3.64963504,-0.2,871115,4599487.2,274523284.6,,-2.2543,4095,Retail Trade,-22.58064516,United States,1.252353,1.69261236,0,0,,-53066000,,1028490000,0.3649635,4700000,17.42921203,199694000,133607000,Specialty Stores,1433890000,60.75556565,462079000,-131787000,-7.62447725,-7.22871435,0.92847024,1.93031,15110.8,0.19761512,0.188438,0.51894676,-8.96003104,-34.71045326,-17.4450653,350156.2882,30448920.56,1259515000,719185000,473075000,838721000,980021000,1433890000,51993000
GAP/B,GPO AEROPORTUARIO DEL PACIFICO SAB,282.96,-5.01829412,-14.95,5024511,1421735633,7073478252,,0.56834763,,Transportation,26.66070397,Mexico,1.75132421,1.33186403,,,0,530718405.3,,,-0.04028062,0,46.53697192,430873609,133062332.6,Other Transportation,925873803,89.04060487,720605567.9,292029880.5,31.65821759,46.53697192,,,32.1998,7.85012129,7.85012087,,11.28522635,29.30674527,11.14657424,,363258944.6,2693791655,798430721.9,1239216318,1699082264,1699082264,925873803,501251779
ICFI,"ICF International, Inc.",87.63,-1.11712932,-0.99,201700,17674971,1644522125,23.59062383,3.7704,7700,Commercial Services,3.2155477,United States,1.19258107,0.80688887,-10565000,0.56,0.636653,159577000,14.8038,2590480000,-0.57549086,1046760000,34.86743488,541508000,133060000,Miscellaneous Commercial Services,1553048000,63.53221019,627878000,71132000,4.58015464,8.21655223,2.06650646,2.40928,24.6044,1.08391916,1.08312624,1.19258107,3.97212388,9.17577112,5.52982136,201694.5455,18096767.88,1881494000,449163000,648311000,1078024000,1078024000,1553048000,18875200
FTDR,"Frontdoor, Inc.",29.76,-0.96505824,-0.29,3654087,108745629.1,2445016545,20.29111886,1.4987,2081,Consumer Durables,-43.22777566,United States,0.78042328,324,0,0,,273000000,12.808,3486590000,0.16638935,512000000,46.8164794,749000000,133000000,Homebuilding,1602000000,20.85078856,386000000,128000000,7.99001248,14.91885144,1258.843113,1525.18,20.3479,1.59747191,1.61446629,0.78042328,10.3476152,,16.47361647,769822.2009,81958649.49,1069000000,295000000,648000000,1067000000,1067000000,1602000000,82157800
SR,Spire Inc.,68.13,1.51989271,1.02,1159078,78967984.14,3525742169,15.53719391,4.3275,3710,Utilities,0.22065313,United States,0.83413727,1.52410808,-148000000,2.6,4.0816326,631800000,10.67,7699470000,0.43212636,1171600000,25.20300224,610300000,132900000,Gas Distributors,2235500000,54.5023605,4075800000,271300000,10.4507747,18.10999429,1.43597637,,,1.52333802,1.55250324,0.64491195,2.62136617,9.05908762,4.33658137,602560.6469,50181754.94,9650500000,1435300000,4084000000,6688400000,6970900000,2235500000,51750200
IS,ironSource Ltd.,5.265,-11.51260504,-0.685,35087119,184733681.5,5247164842,100,0.0589,,Technology Services,-50.97765363,Israel,3.40857931,0.03410311,,,,115930000,54.1828,7734440000,-0.16806723,240299000,83.58146661,461074000,132874000,Packaged Software,553466000,29.02417528,-740660000,59821000,10.80843268,16.48104852,5.30219755,7.14965,51.3579,11.35598349,9.44860057,,6.02227156,9.0499798,8.20018985,,322455765.5,1450823000,1052692000,37601000,348255000,348255000,553466000,996612392
AVLR,"Avalara, Inc.",97.58,-6.09181022,-6.33,1657333,161722554.1,8536940000,,-1.4513,4465,Technology Services,-31.59960746,United States,3.09907288,0.99208148,0,0,,-59478000,,10696000000,0.23096911,672381000,68.59868064,479489000,132266000,Packaged Software,698977000,42.90904124,-533438000,-125233000,-17.91661242,-15.10106913,8.73705519,10.954,289.63,12.81413906,12.70909306,3.09907288,-5.82362056,-11.8895061,-7.9008565,156545.8007,85241693.84,2698531000,1759260000,1018326000,1672077000,1672077000,698977000,87486600
ACHC,"Acadia Healthcare Company, Inc.",62.49,10.19220596,5.78,2014816,125905851.8,5620076770,27.02798129,2.3141,22500,Health Services,15.08287293,United States,1.22271841,0.63851511,0,0,,503291000,13.8125,7106790000,5.27243872,2199937000,23.04331069,533313000,132083000,Medical/Nursing Services,2314394000,51.22123408,1515393000,204125000,8.7831199,17.13511183,2.16568326,2.14659,42.5025,2.40891012,2.4024273,1.21089707,3.60820204,9.20437089,4.47402536,102861.9556,88573075.66,4768078000,495031000,1649206000,2185201000,2185201000,2314394000,89935600
LTRPA,"Liberty TripAdvisor Holdings, Inc. - Series A",1.9,-10.37735849,-0.22,1730527,3288001.3,182580248.5,,-2.5913,2691,Consumer Services,-65.64195298,United States,2.74157303,0.69346497,0,0,,-35000000,,3207190000,1.41509434,2220000000,51.66297118,466000000,132000000,Other Consumer Services,902000000,40.20020663,715000000,179000000,19.84478936,-20.50997783,,,3.78488,0.17112368,0.16962306,2.74157303,4.12727692,157.0175439,15.39122958,335191.3787,68450064.29,4524000000,976000000,1475000000,2397000000,2397000000,902000000,75663550
VLGEA,"Village Super Market, Inc.",23.67,3.90693591,0.89,87501,2071148.67,308776326.2,13.45439538,1.814,7268,Retail Trade,-4.17004049,United States,1.44371888,1.12749481,-13050000,1,4.382121,73078000,4.4682,601420000,0,24190000,26.22118015,530849000,131845000,Food Retail,2030330000,48.06607221,286121000,19368000,1.14121819,1.85494039,0.87145969,0.837301,22.14,0.15881084,0.15900594,1.14499179,2.59423184,6.82138702,3.24175111,279351.9538,8204853.302,888026000,222415000,391208000,547531000,541055000,2030330000,13045045.26
FLOW,"SPX FLOW, Inc.",85.94,0.05821399,0.05,1053702,90555149.88,3614471816,53.44484517,1.6093,4900,Producer Manufacturing,37.37212276,United States,1.68646035,0.44132088,0,,0.4188482,185300000,20.0972,3775290000,-0.0232856,584500000,33.83257031,517300000,131700000,Industrial Machinery,1529000000,72.84801525,144500000,66700000,4.31654676,9.03204709,3.48347891,3.50496,95.4899,2.35915605,2.35865013,1.21682785,3.15434798,6.27316795,4.47715633,312040.8163,41574095.39,2086200000,871900000,458400000,1047500000,1047500000,1529000000,42058100
SIMO,Silicon Motion Technology Corporation,71.46,-1.48883375,-1.08,950011,67887786.06,2534236521,12.73038556,5.7461,,Electronic Technology,24.27826087,Hong Kong,2.90566065,0,-54142545.81,,2.3191984,263548600,,,0.15164047,0,49.97251989,461677943.7,131556093.2,Semiconductors,923866864.6,54.81406035,-364039451.4,200332128.5,21.6871808,26.66634651,,,34.5718,2.76604823,2.75999404,2.3263697,23.38859555,32.97371243,21.64133203,,34760354.69,971216666.4,818018228,0,313714038,313714038,923866864.6,34777500
TPL,Texas Pacific Land Corporation,1205.03,1.37121129,16.3,108131,130301098.9,9333409425,35.68024301,34.8303,92,Miscellaneous,2.55399908,United States,10.3440668,0.00221724,-85264000,11,0.9656005,378650000,24.437,9245670000,0.94807063,0,84.58792171,381456000,131529000,Investment Trusts/Mutual Funds,450958000,69.92102374,-426797000,269980000,59.86810302,80.36069878,14.76968209,14.8424,58.9063,21.34360665,21.36310944,10.3440668,40.26841633,47.49427168,47.31672393,4901717.391,7734327.343,769267000,526513000,1445000,117556000,117556000,450958000,7745380
RVLV,"Revolve Group, Inc.",45.23,-4.63841451,-2.2,2873192,129954474.2,3313408793,34.05494177,1.3768,1078,Retail Trade,6.32346027,United States,2.74520353,0.02190124,0,0,,109799000,36.0582,3982190000,-0.16866962,2042000,54.95047061,485415000,131464000,Internet Retail,891390000,75.85456709,-211512000,99840000,11.20048464,11.81200148,10.53866874,12.9458,69.4902,3.82989161,3.81520338,1.5948122,25.05517836,38.61699782,38.38117846,826892.3933,40187912.75,486404000,439842000,6943000,169390000,169390000,891390000,73233304
HUBG,"Hub Group, Inc.",85.37,1.1492891,0.97,571875,48820968.75,2961633301,16.8054594,5.1275,4700,Transportation,41.15410053,United States,1.30159853,0.24045336,0,0,,369086000,8.05038,3025230000,-0.15402844,576913000,7.44103263,314933000,131003000,Air Freight/Couriers,4232383000,78.36011864,162499000,171474000,4.05147644,5.63410731,2.1913297,2.17276,23.8154,0.68216787,0.68034115,1.30159853,7.54944757,13.7276007,11.72967048,900507.0213,32818463.8,2437294000,894288000,322283000,1096980000,1096980000,4232383000,34691696
UCTT,"Ultra Clean Holdings, Inc.",43.5,-5.04256713,-2.31,1710679,74414536.5,1953150145,16.95432227,2.7357,,Electronic Technology,-0.3208066,United States,2.42390917,0.71160413,,,,264824000,10.4201,2823840000,0.4147566,270044000,22.59106715,429977000,130882000,Semiconductors,2101615000,57.65357784,168757000,119445000,5.68461903,9.22838208,,,16.5493,0.9873401,0.96188816,1.61550743,7.63901544,17.29596852,10.52589845,,43608406.6,2025390000,1137097000,635212000,1132742000,1132742000,2101615000,44900000
GLOB,Globant S.A.,252.45,-7.8649635,-21.55,734400,185399280,10479721901,117.6643424,2.3422,23526,Technology Services,21.05010789,Luxembourg,2.12167259,0.11214824,0,0,,248576000,47.7979,13141400000,0,572959000,34.39978166,428824000,130648000,Information Technology Services,1297078000,55.34797935,-314927000,96065000,7.40626238,14.31355709,8.5779432,10.0415,97.6218,8.86031698,8.70372604,2.12167259,6.04371684,8.79187156,8.02843821,55133.8094,40690160.42,1890237000,819600000,146725000,581924000,581924000,1297078000,41512100
WWE,"World Wrestling Entertainment, Inc.",59.59,0.55686804,0.33,1631472,97219416.48,4461222497,28.35708927,2.3425,870,Consumer Services,13.33206542,United States,1.51651407,1.62486492,-36413000,0.48,0.7936508,344974000,12.7019,4333470000,0.26999663,0,40.74480217,446587000,130364000,Movies/Entertainment,1095174000,56.93230076,203711000,180408000,16.47335642,24.39826993,11.87074082,9.68423,40.7091,4.62207581,4.69090084,1.49709272,14.42550519,46.85879172,22.80322472,1258820.69,43087703.52,1204067000,627256000,619496000,822807000,822807000,1095174000,74865311
DFIN,"Donnelley Financial Solutions, Inc.",31.1,-3.1152648,-1,1031422,32077224.2,1016707291,7.63803098,4.3439,2185,Technology Services,15.31331109,United States,1.07000765,0.50079576,0,0,,289700000,6.01222,1788910000,-0.99688474,410000000,54.35417296,539900000,130200000,Packaged Software,993300000,76.45245589,134300000,145900000,14.68841236,23.36655592,2.81419158,4.12631,10.4689,1.13607671,1.1393134,1.04858454,16.0373729,46.70294494,27.12904425,454599.5423,31356213.52,920800000,279700000,188800000,543800000,543800000,993300000,32691600
DOOR,Masonite International Corporation,97.2,3.04251034,2.87,480597,46714028.4,2259581807,26.16790254,3.8561,,Producer Manufacturing,-10.41474654,United States,2.94854656,1.54904127,0,0,,396857000,8.59694,3501610000,0.74207569,77102000,22.73608737,608838000,130102000,Building Products,2596920000,45.77255432,692480000,94501000,3.63896462,11.73986877,3.39166545,4.04865,41.5142,0.90246113,0.93457784,2.04516443,4.31080532,13.76365792,5.58016411,,22972435.43,2246618000,1134126000,1083985000,1546840000,1546840000,2596920000,23246700
MD,"Mednax, Inc.",23.12,-1.49126545,-0.35,1549267,35819053.04,1999246205,15.60507461,1.5329,7420,Health Services,-9.04799371,United States,1.96684809,1.18862218,0,0,,249885000,11.4182,2930500000,-1.32083511,1505430000,25.17252331,481095000,130044000,Medical/Nursing Services,1911191000,48.57938152,578722000,130964000,5.6516591,11.3927912,2.2885788,2.62309,52.4946,1.07350967,1.06611883,1.96684809,3.55865602,13.1406131,4.83156356,257572.9111,84663766.15,2722546000,840564000,1065828000,1825854000,1825854000,1911191000,86472600
HIBB,"Hibbett, Inc.",46.81,3.83762201,1.73,1503748,70390443.88,640768265.1,4.37733226,11.3699,10700,Retail Trade,-22.46148749,United States,1.52592307,0.87263532,0,0,2.0894275,269400000,4.41912,1396360000,0.6433008,0,36.71865122,477948000,129737000,Specialty Stores,1419657000,62.24343979,236699000,74266000,10.71938846,14.02615472,2.01688265,3.46959,5.90183,0.4254274,0.57435762,0.30815518,24.03576629,53.21949883,33.71717758,132678.2243,12694120.12,725242000,324338000,266577000,483332000,419757000,1419657000,13688700
PRDO,Perdoceo Education Corporation,10.69,2.10124164,0.22,1883164,20131023.16,749428013.2,7.00728029,1.5654,4300,Consumer Services,-6.43326039,United States,3.95348821,0.06914061,0,0,,165782000,2.01572,372698000,-0.95510984,162579000,81.88992171,567525000,129619000,Other Consumer Services,693034000,49.55728408,-454442000,109637000,15.82231175,21.50197537,1.13997714,1.24361,4.6139,1.09404632,1.10253924,3.9470423,13.77782636,18.18448662,17.0671556,161170.6977,68048604.63,858032000,554453000,44949000,207922000,207922000,693034000,70105500
HLMN,Hillman Solutions Corp.,9.605,2.39872068,0.225,1530874,14704044.77,1862740661,,-0.9457,5,Distribution Services,-4.33266932,United States,2.23276656,0.9201485,0,0,,46734280,,2994570000,0.10660981,825981000,35.52814969,0,129493000,Wholesale Distributors,0,31.12628403,973286000,-28890395,-22.35885536,4.60279933,1.39358164,2.09588,,4.408795,,0.56053456,-6.29922996,-15.1837379,-7.98450327,0,96879647.45,2587034000,676142000,987715000,73347450,1513604000,0,193935000
UVV,Universal Corporation,56.5385,4.48807984,2.4285,232767,13160297.03,1391315446,13.93412057,4.0487,20000,Consumer Non-Durables,8.85348479,United States,3.18612594,0.59069393,-75177000,3.08,5.5664587,227762000,8.43621,2117030000,-0.12936611,214023000,19.83383617,399929000,129199000,Tobacco,1983357000,52.58403953,703591000,87410000,4.82919346,8.51140044,1.05106665,1.02693,18.4904,0.67418013,0.70052901,1.09749445,4.0210599,7.74536067,5.46106197,99167.85,23973602.73,2593528000,1745312000,802896000,993499000,1234286000,1983357000,24608300
TBLA,Taboola.com Ltd.,6.01,-9.07715582,-0.6,1681284,10104516.84,1406531634,,,,Technology Services,-43.35532516,United States,1.57016784,0.4727719,,,,20467550,34.7303,1863340000,-0.15128593,549338000,30.50500448,415377000,129171000,Internet Software/Services,1378458000,21.28140511,42567000,-36892000,-3.51194009,-2.26859719,1.94830735,2.37212,,1.39044329,1.08488167,,-3.97108896,-9.55044899,-6.5908053,,134299965.3,1597847000,628948000,362886000,830276000,830276000,1378458000,234032000
BSM,"Black Stone Minerals, L.P.",12.32,2.41064007,0.29,1712418,21096989.76,2576334622,17.01165182,0.772,108,Energy Minerals,30.23255814,United States,1.3997148,0.08367579,-197924000,0.8,8.70266,393341000,6.43239,2693120000,0.99750623,0,75.07800543,379695000,128504000,Oil & Gas Production,505734000,66.20638015,80124000,181987000,35.98472715,65.49866135,3.383841,2.81669,48.5466,5.49833764,5.11114321,1.3997148,14.60629022,17.1475872,15.60381652,4682722.222,178529682.8,1247921000,107974000,89000000,184292000,184292000,505734000,209118000
ACAD,ACADIA Pharmaceuticals Inc.,24.19,-4.80125935,-1.22,3387437,81942101.03,3888686798,,-1.0466,,Health Technology,-47.20646006,United States,6.43110089,0.11911761,0,0,,-167095000,,3298340000,-4.60448642,0,97.50095529,472194000,128197000,Biotechnology,484145000,33.72268623,-456276000,-167870000,-34.67349658,-35.20412273,7.34074949,6.94781,,8.19373444,8.17473563,6.34906525,-22.64324513,-28.74725041,-26.4677108,,159623313.2,700122000,617823000,64430000,159228000,159228000,484145000,160756000
BKH,Black Hills Corporation,71.17,1.68595514,1.18,1263931,89953969.27,4607454769,18.69720945,3.7459,2884,Utilities,18.81469115,United States,0.89621975,1.57495992,-145023000,2.29,3.4024308,640876000,14.2027,9158980000,-0.28575511,1299454000,23.85811517,465019000,128089000,Electric Utilities,1949102000,70.75948715,4533293000,236744000,12.14631148,20.77484914,1.6248084,1.63921,,2.30151808,2.27262798,0.72878399,2.74953106,8.85275982,3.64016877,675832.871,64327156.08,9131896000,808133000,4547103000,6244773000,6244773000,1949102000,64738700
MMSI,"Merit Medical Systems, Inc.",64.39,-0.98416116,-0.64,751689,48401254.71,3635360564,77.19838824,0.8618,,Health Technology,22.50761035,United States,2.04084984,0.30297105,0,0,,178811000,20.9791,3837250000,0.03075504,361741000,45.18213197,440308000,127887000,Medical Specialties,1080343000,60.5261029,247279000,48454000,4.48505706,7.68006087,3.54392503,3.38942,27.133,3.47447742,3.45849907,1.10161673,2.92535673,4.84934252,3.5773138,,55241706.41,1648294000,482212000,315029000,608495000,608495000,1080343000,56458500
ARCB,ArcBest Corporation,94.32,1.76952956,1.64,627798,59213907.36,2320060450,11.92062101,8.3834,14000,Transportation,46.18722877,United States,1.10439679,0.36284466,-8139000,0.32,0.33609915,400893000,8.36553,3384270000,-0.21579629,300337000,10.31535399,410557000,127444000,Trucking,3980067000,65.32363622,212148000,213521000,5.36475893,6.95144077,2.5483575,3.20786,13.5441,0.63314589,0.64043498,1.10439679,10.9731931,24.29605271,18.27801247,284290.5,23780390.51,2112676000,776053000,337107000,1183609000,1183609000,3980067000,24597800
NWN,Northwest Natural Holding Company,54.54,4.86444914,2.53,620348,33833779.92,1699235745,21.06147653,2.5659,1173,Utilities,12.29153799,United States,0.60333487,1.62027748,-55919000,1.9225,3.5813694,213100000,13.4175,2946420000,-0.57681215,70570000,17.78198499,153000000,127041000,Gas Distributors,860426000,59.68543174,1439946000,78666000,9.14266986,8.80156016,1.79388229,1.62378,,1.93425459,1.92605207,0.5243272,1.97222622,8.62623014,4.0459431,733526.0017,30703012.76,4140037000,437276000,1515196000,3204891000,3204891000,860426000,31155800
CNXN,"PC Connection, Inc.",49.855,2.18282435,1.065,98346,4903039.83,1306668679,18.90220915,2.668,,Technology Services,12.56491307,United States,2.48580341,0.00994765,-34599000,,0,108718000,9.46265,1035900000,0.18446403,73602000,15.74413286,464579000,127035000,Information Technology Services,2892595000,36.22167469,-101521000,69906000,2.4167227,3.33665791,1.92868482,1.65904,88.468,0.45713004,0.45699137,1.93558724,6.62282461,10.60145587,10.47108342,,11085318.15,1084158000,933188000,6789000,401685000,401685000,2892595000,26209400
WH,"Wyndham Hotels & Resorts, Inc.",86.24,-0.19673649,-0.17,1817903,156775954.7,7960434954,33.70078131,2.6,8000,Consumer Services,36.49889205,United States,1.80100756,1.93112948,-82000000,0.88,1.4690692,551000000,18.793,10332200000,-0.50920032,1525000000,36.31713555,568000000,127000000,Hotels/Resorts/Cruise lines,1565000000,72.63286425,1932000000,244000000,15.5370844,29.09207161,7.385294,7.59889,27.4206,5.22000064,5.2278,1.80100756,5.45270953,23.68421053,7.24076281,195625,90664314.13,4269000000,715000000,2103000000,3180000000,3180000000,1565000000,92305600
MTOR,"Meritor, Inc.",35.89,0.78629598,0.28,9145342,328226324.4,2542060170,11.66454643,3.1072,9600,Producer Manufacturing,18.05921053,United States,1.43411645,1.72570533,0,0,,351000000,7.34218,2793340000,0.056164,507000000,13.16191446,504000000,127000000,Auto Parts: OEM,3833000000,53.81095772,988000000,199000000,5.65173116,6.36456212,4.36720687,2.93873,14.4988,0.64819552,0.6791881,0.75280899,7.42847582,39.39662822,13.2814837,399270.8333,67190420.68,3047000000,1404000000,1101000000,2323000000,2409000000,3833000000,70829200
CSGS,"CSG Systems International, Inc.",62.58,1.3933895,0.86,987711,61810954.38,2024365237,27.64573098,2.2759,5200,Technology Services,37.35733099,United States,1.07638735,1.06317633,-32587000,1,1.6970861,202047000,9.8459,2078350000,-0.22683085,321330000,45.71877147,478441000,126768000,Data Processing Services,1046487000,90.09856467,234385000,72331000,6.91179155,12.51893239,4.64863923,4.28842,22.7498,1.90629214,1.9105298,1.07638735,5.32012038,16.84066663,9.64817914,201247.5,31260588,1387149000,748199000,468057000,946905000,946905000,1046487000,32348400
